inst#,actual,predicted,error,prediction
1,1:?,2:return,,0.521
2,1:?,1:no,,0.528
3,1:?,2:return,,0.544
4,1:?,1:no,,0.505
5,1:?,2:return,,0.543
6,1:?,2:return,,0.663
7,1:?,2:return,,0.663
8,1:?,2:return,,0.568
9,1:?,2:return,,0.522
10,1:?,2:return,,0.521
11,1:?,1:no,,0.526
12,1:?,2:return,,0.506
13,1:?,2:return,,0.578
14,1:?,2:return,,0.536
15,1:?,2:return,,0.607
16,1:?,2:return,,0.986
17,1:?,2:return,,0.99
18,1:?,2:return,,0.563
19,1:?,1:no,,0.509
20,1:?,2:return,,0.62
21,1:?,2:return,,0.651
22,1:?,1:no,,0.509
23,1:?,2:return,,0.552
24,1:?,2:return,,0.645
25,1:?,2:return,,0.626
26,1:?,2:return,,0.659
27,1:?,2:return,,0.64
28,1:?,2:return,,0.554
29,1:?,1:no,,0.502
30,1:?,2:return,,0.554
31,1:?,2:return,,0.502
32,1:?,2:return,,0.574
33,1:?,2:return,,0.574
34,1:?,2:return,,0.645
35,1:?,1:no,,0.517
36,1:?,2:return,,0.677
37,1:?,2:return,,0.519
38,1:?,2:return,,0.677
39,1:?,2:return,,0.519
40,1:?,2:return,,0.622
41,1:?,2:return,,0.64
42,1:?,2:return,,0.557
43,1:?,2:return,,0.575
44,1:?,2:return,,0.547
45,1:?,2:return,,1
46,1:?,2:return,,0.547
47,1:?,2:return,,0.564
48,1:?,2:return,,0.669
49,1:?,2:return,,0.574
50,1:?,2:return,,0.677
51,1:?,2:return,,0.521
52,1:?,2:return,,0.591
53,1:?,2:return,,0.613
54,1:?,2:return,,0.641
55,1:?,2:return,,0.697
56,1:?,2:return,,0.669
57,1:?,2:return,,0.697

