inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.885
2,1:?,1:no,,0.931
3,1:?,1:no,,1
4,1:?,1:no,,1
5,1:?,1:no,,0.998
6,1:?,1:no,,0.999
7,1:?,1:no,,0.759
8,1:?,1:no,,0.847
9,1:?,2:return,,0.908
10,1:?,2:return,,0.848
11,1:?,1:no,,0.9
12,1:?,1:no,,0.941
13,1:?,1:no,,1
14,1:?,1:no,,1
15,1:?,1:no,,0.73
16,1:?,1:no,,0.826
17,1:?,1:no,,0.982
18,1:?,1:no,,0.999
19,1:?,1:no,,0.986
20,1:?,2:return,,0.78
21,1:?,1:no,,1
22,1:?,1:no,,0.998
23,1:?,2:return,,0.991
24,1:?,1:no,,0.999
25,1:?,1:no,,0.827
26,1:?,2:return,,0.631
27,1:?,1:no,,1
28,1:?,1:no,,1
29,1:?,1:no,,0.996
30,1:?,1:no,,0.998
31,1:?,1:no,,0.907
32,1:?,1:no,,0.943
33,1:?,1:no,,0.686
34,1:?,1:no,,0.789
35,1:?,1:no,,1
36,1:?,1:no,,1
37,1:?,1:no,,1
38,1:?,1:no,,1
39,1:?,1:no,,0.931
40,1:?,1:no,,0.959
41,1:?,1:no,,0.994
42,1:?,1:no,,0.997
43,1:?,1:no,,1
44,1:?,1:no,,1
45,1:?,1:no,,1
46,1:?,1:no,,1
47,1:?,1:no,,1
48,1:?,1:no,,1
49,1:?,1:no,,0.985
50,1:?,1:no,,0.964
51,1:?,1:no,,0.996
52,1:?,1:no,,0.989
53,1:?,1:no,,0.965
54,1:?,1:no,,0.921
55,1:?,1:no,,0.997
56,1:?,1:no,,0.992
57,1:?,2:return,,0.679
58,1:?,2:return,,0.834
59,1:?,1:no,,1
60,1:?,1:no,,0.999
61,1:?,1:no,,0.99
62,1:?,1:no,,0.744
63,1:?,1:no,,0.932
64,1:?,1:no,,0.983
65,1:?,1:no,,0.996
66,1:?,2:return,,0.978
67,1:?,2:return,,0.988
68,1:?,1:no,,1
69,1:?,1:no,,0.993
70,1:?,1:no,,1
71,1:?,1:no,,1
72,1:?,2:return,,0.991
73,1:?,1:no,,0.898
74,1:?,1:no,,1
75,1:?,1:no,,1
76,1:?,1:no,,1
77,1:?,1:no,,1
78,1:?,1:no,,1
79,1:?,1:no,,0.999
80,1:?,1:no,,1
81,1:?,1:no,,0.999
82,1:?,1:no,,0.814
83,1:?,1:no,,1
84,1:?,1:no,,1
85,1:?,1:no,,0.949
86,1:?,2:return,,0.521
87,1:?,1:no,,1
88,1:?,1:no,,0.998
89,1:?,1:no,,0.998
90,1:?,1:no,,1
91,1:?,1:no,,1
92,1:?,1:no,,0.996
93,1:?,1:no,,0.996
94,1:?,2:return,,0.933
95,1:?,2:return,,0.933
96,1:?,1:no,,1
97,1:?,1:no,,1
98,1:?,1:no,,0.927
99,1:?,1:no,,0.927
100,1:?,1:no,,0.687
101,1:?,1:no,,0.687
102,1:?,1:no,,0.991
103,1:?,1:no,,0.991
104,1:?,1:no,,1
105,1:?,1:no,,0.996
106,1:?,1:no,,0.973
107,1:?,1:no,,0.999
108,1:?,1:no,,0.931
109,1:?,1:no,,0.983
110,1:?,2:return,,0.898
111,1:?,1:no,,0.999
112,1:?,1:no,,0.997
113,1:?,2:return,,0.765
114,1:?,1:no,,0.999
115,1:?,1:no,,0.999
116,1:?,1:no,,1
117,1:?,1:no,,0.999
118,1:?,1:no,,0.96
119,1:?,2:return,,0.616
120,1:?,2:return,,0.518
121,1:?,2:return,,0.996
122,1:?,2:return,,0.553
123,1:?,2:return,,0.508
124,1:?,2:return,,0.914
125,1:?,1:no,,0.586
126,1:?,1:no,,0.948
127,1:?,1:no,,0.996
128,1:?,1:no,,0.999
129,1:?,1:no,,1
130,1:?,1:no,,1
131,1:?,1:no,,0.993
132,1:?,1:no,,0.998
133,1:?,1:no,,1
134,1:?,1:no,,1
135,1:?,1:no,,0.695
136,1:?,1:no,,0.902
137,1:?,1:no,,0.995
138,1:?,1:no,,0.999
139,1:?,1:no,,0.999
140,1:?,1:no,,1
141,1:?,2:return,,0.82
142,1:?,2:return,,0.528
143,1:?,1:no,,0.996
144,1:?,1:no,,0.999
145,1:?,1:no,,1
146,1:?,1:no,,1
147,1:?,1:no,,0.999
148,1:?,1:no,,0.999
149,1:?,1:no,,1
150,1:?,1:no,,1
151,1:?,1:no,,0.981
152,1:?,1:no,,0.981
153,1:?,1:no,,1
154,1:?,1:no,,1
155,1:?,1:no,,1
156,1:?,1:no,,0.871
157,1:?,1:no,,0.999
158,1:?,1:no,,0.931
159,1:?,1:no,,0.981
160,1:?,1:no,,1
161,1:?,1:no,,0.998
162,1:?,1:no,,0.999
163,1:?,1:no,,1
164,1:?,1:no,,1
165,1:?,1:no,,0.997
166,1:?,1:no,,0.996
167,1:?,1:no,,1
168,1:?,1:no,,1
169,1:?,2:return,,0.533
170,1:?,2:return,,0.597
171,1:?,1:no,,0.628
172,1:?,1:no,,0.566
173,1:?,1:no,,1
174,1:?,1:no,,1
175,1:?,1:no,,1
176,1:?,1:no,,1
177,1:?,1:no,,1
178,1:?,1:no,,1
179,1:?,1:no,,1
180,1:?,1:no,,1
181,1:?,1:no,,0.623
182,1:?,1:no,,0.56
183,1:?,2:return,,0.998
184,1:?,1:no,,0.999
185,1:?,1:no,,0.891
186,1:?,1:no,,1
187,1:?,1:no,,0.991
188,1:?,2:return,,0.979
189,1:?,1:no,,0.972
190,1:?,1:no,,0.901
191,1:?,1:no,,1
192,1:?,1:no,,1
193,1:?,1:no,,1
194,1:?,1:no,,0.999
195,1:?,1:no,,0.965
196,1:?,1:no,,1
197,1:?,1:no,,0.951
198,1:?,1:no,,1
199,1:?,1:no,,1
200,1:?,1:no,,0.999
201,1:?,1:no,,0.994
202,1:?,1:no,,0.999
203,1:?,2:return,,0.905
204,1:?,1:no,,0.957
205,1:?,1:no,,0.993
206,1:?,1:no,,0.994
207,1:?,1:no,,0.677
208,1:?,1:no,,1
209,1:?,1:no,,0.999
210,1:?,1:no,,1

