inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.959
2,1:?,1:no,,0.973
3,1:?,1:no,,0.982
4,1:?,1:no,,0.989
5,1:?,2:return,,0.932
6,1:?,1:no,,0.934
7,1:?,1:no,,0.977
8,1:?,1:no,,0.854
9,1:?,1:no,,0.947
10,1:?,1:no,,0.847
11,1:?,1:no,,0.782
12,1:?,1:no,,0.999
13,1:?,1:no,,0.998
14,1:?,1:no,,0.981
15,1:?,1:no,,0.971
16,1:?,1:no,,0.999
17,1:?,1:no,,0.998
18,1:?,1:no,,0.992
19,1:?,1:no,,0.988
20,1:?,2:return,,0.857
21,1:?,1:no,,0.998
22,1:?,1:no,,0.93
23,1:?,2:return,,0.72
24,1:?,1:no,,0.992
25,1:?,1:no,,0.97
26,1:?,2:return,,0.903
27,1:?,1:no,,0.993
28,1:?,1:no,,0.998
29,1:?,1:no,,0.998
30,1:?,1:no,,0.922
31,1:?,1:no,,0.922
32,1:?,1:no,,0.998
33,1:?,1:no,,0.998
34,1:?,1:no,,0.968
35,1:?,1:no,,0.997
36,1:?,1:no,,0.687
37,1:?,1:no,,0.998
38,1:?,2:return,,0.817
39,1:?,2:return,,0.593
40,1:?,1:no,,0.935
41,1:?,1:no,,0.935
42,1:?,1:no,,0.998
43,1:?,1:no,,0.998
44,1:?,1:no,,0.976
45,1:?,1:no,,0.976
46,1:?,1:no,,0.992
47,1:?,1:no,,0.992
48,1:?,2:return,,0.898
49,1:?,1:no,,0.525
50,1:?,2:return,,0.583
51,1:?,1:no,,0.987
52,1:?,1:no,,0.98
53,1:?,1:no,,0.997
54,1:?,1:no,,0.995
55,1:?,2:return,,0.932
56,1:?,1:no,,0.998
57,1:?,1:no,,0.941
58,1:?,1:no,,0.98
59,1:?,1:no,,0.992
60,1:?,1:no,,0.845

