inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.596
2,1:?,1:no,,0.999
3,1:?,2:return,,0.562
4,1:?,1:no,,0.671
5,1:?,1:no,,0.999
6,1:?,1:no,,0.589
7,1:?,1:no,,0.999
8,1:?,1:no,,0.611
9,1:?,2:return,,0.64
10,1:?,1:no,,0.893
11,1:?,1:no,,0.762
12,1:?,1:no,,0.755
13,1:?,1:no,,0.528
14,1:?,1:no,,0.821
15,1:?,1:no,,0.988
16,1:?,1:no,,0.999
17,1:?,1:no,,0.828
18,1:?,1:no,,0.517
19,1:?,1:no,,0.999
20,1:?,1:no,,0.999
21,1:?,1:no,,0.772
22,1:?,2:return,,0.572
23,1:?,1:no,,0.772
24,1:?,1:no,,0.771
25,1:?,1:no,,0.706
26,1:?,1:no,,0.78
27,1:?,1:no,,0.999
28,1:?,1:no,,0.999
29,1:?,1:no,,0.999
30,1:?,1:no,,0.86
31,1:?,1:no,,0.86
32,1:?,1:no,,0.898
33,1:?,1:no,,0.689
34,1:?,1:no,,0.817
35,1:?,1:no,,0.935
36,1:?,2:return,,0.562
37,1:?,1:no,,0.852
38,1:?,2:return,,0.64
39,1:?,1:no,,0.999
40,1:?,2:return,,0.562
41,1:?,1:no,,0.999
42,1:?,1:no,,0.671
43,1:?,1:no,,0.999
44,1:?,1:no,,0.526
45,1:?,1:no,,0.999
46,1:?,1:no,,0.746
47,1:?,2:return,,0.556
48,1:?,1:no,,0.847
49,1:?,1:no,,0.947
50,1:?,1:no,,0.627
51,1:?,1:no,,0.869
52,1:?,1:no,,0.827
53,1:?,1:no,,0.999
54,1:?,1:no,,0.992
55,1:?,1:no,,0.898
56,1:?,1:no,,0.999
57,1:?,1:no,,0.78
58,1:?,1:no,,0.757
59,1:?,1:no,,0.711
60,1:?,1:no,,0.623
61,1:?,1:no,,0.86
62,1:?,1:no,,0.999
63,1:?,1:no,,0.86
64,1:?,2:return,,0.627
65,1:?,1:no,,0.766
66,1:?,1:no,,0.766
67,1:?,1:no,,0.556
68,1:?,1:no,,0.999
69,1:?,1:no,,0.598
70,1:?,1:no,,0.791
71,1:?,2:return,,0.513
72,1:?,2:return,,0.545
73,1:?,1:no,,0.894
74,1:?,1:no,,0.939
75,1:?,1:no,,0.999
76,1:?,1:no,,0.886
77,1:?,1:no,,0.796
78,1:?,2:return,,0.513
79,1:?,1:no,,0.917
80,1:?,1:no,,0.746
81,1:?,1:no,,0.999
82,1:?,1:no,,0.711
83,1:?,2:return,,0.649
84,1:?,1:no,,0.766
85,1:?,1:no,,0.999
86,1:?,1:no,,0.766
87,1:?,1:no,,0.766
88,1:?,1:no,,0.825
89,1:?,1:no,,0.999
90,1:?,1:no,,0.682
91,1:?,1:no,,0.639
92,1:?,1:no,,0.999
93,1:?,1:no,,0.983
94,1:?,1:no,,0.999
95,1:?,1:no,,0.988
96,1:?,1:no,,0.897
97,1:?,1:no,,0.639
98,1:?,1:no,,0.999
99,1:?,1:no,,0.711
100,1:?,1:no,,0.697
101,1:?,1:no,,0.999
102,1:?,1:no,,0.898
103,1:?,1:no,,0.898
104,1:?,1:no,,0.947
105,1:?,1:no,,0.708
106,1:?,1:no,,0.718
107,1:?,1:no,,0.772
108,1:?,1:no,,0.988
109,1:?,1:no,,0.688
110,1:?,1:no,,0.984
111,1:?,1:no,,0.509
112,1:?,1:no,,0.611
113,1:?,2:return,,0.562
114,1:?,1:no,,0.999
115,1:?,1:no,,0.999
116,1:?,2:return,,0.562
117,1:?,1:no,,0.611
118,1:?,1:no,,0.898
119,1:?,1:no,,0.772
120,1:?,1:no,,0.766
121,1:?,1:no,,0.999
122,1:?,1:no,,1
123,1:?,1:no,,0.999
124,1:?,1:no,,0.999
125,1:?,1:no,,0.64
126,1:?,1:no,,0.825
127,1:?,1:no,,0.556
128,1:?,2:return,,0.542
129,1:?,1:no,,0.561
130,1:?,1:no,,0.898
131,1:?,1:no,,0.999
132,1:?,1:no,,0.999
133,1:?,1:no,,0.999
134,1:?,1:no,,0.999
135,1:?,1:no,,0.825
136,1:?,1:no,,0.619
137,1:?,1:no,,0.825
138,1:?,1:no,,0.701
139,1:?,2:return,,0.809
140,1:?,1:no,,0.999
141,1:?,1:no,,0.86
142,1:?,1:no,,0.701
143,1:?,1:no,,0.999

