inst#,actual,predicted,error,prediction
1,1:?,2:return,,0.558
2,1:?,2:return,,0.523
3,1:?,2:return,,0.543
4,1:?,2:return,,0.58
5,1:?,1:no,,0.569
6,1:?,2:return,,0.548
7,1:?,2:return,,0.548
8,1:?,2:return,,0.636
9,1:?,2:return,,0.561
10,1:?,2:return,,0.549
11,1:?,2:return,,0.59
12,1:?,2:return,,0.989
13,1:?,2:return,,0.585
14,1:?,2:return,,0.546
15,1:?,2:return,,0.513
16,1:?,1:no,,0.526
17,1:?,2:return,,0.596
18,1:?,2:return,,0.653
19,1:?,1:no,,0.61
20,1:?,2:return,,0.517
21,1:?,2:return,,0.627
22,1:?,2:return,,0.66
23,1:?,2:return,,0.561
24,1:?,2:return,,0.655
25,1:?,2:return,,0.594
26,1:?,2:return,,0.655
27,1:?,2:return,,0.596
28,1:?,2:return,,0.665
29,1:?,2:return,,0.665
30,1:?,2:return,,0.512
31,1:?,2:return,,0.52
32,1:?,2:return,,0.548
33,1:?,2:return,,0.556
34,1:?,2:return,,0.548
35,1:?,2:return,,0.556
36,1:?,2:return,,0.672
37,1:?,2:return,,0.6
38,1:?,2:return,,0.622
39,1:?,2:return,,1
40,1:?,2:return,,0.622
41,1:?,2:return,,0.565
42,1:?,2:return,,0.581
43,1:?,2:return,,0.578
44,1:?,2:return,,0.516
45,1:?,2:return,,0.583
46,1:?,1:no,,0.517
47,1:?,2:return,,0.521
48,1:?,2:return,,0.536
49,1:?,2:return,,0.501
50,1:?,2:return,,0.536
51,1:?,2:return,,0.658
52,1:?,2:return,,0.599

