name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Bernd Leno,GK,0,0,0.85783125,1.5,0,0,0.15,4,0,1.5,?
Emiliano Mart√≠nez,GK,0,0,1.0633495,12.8,0,0,1.275,7,0,4,?
Robin Olsen,GK,0,0,1.0633495,0,0,0,0,7,0,0,?
David Raya Martin,GK,0,0,1.28275775,33.9,0,0,3.375,9,0,3.75,?
Alvaro Fernandez,GK,0,0,1.28275775,0,0,0,0,9,0,0,?
Jonas Lassl,GK,0,0,1.28275775,0,0,0,0,9,0,0,?
Jason Steele,GK,0,0,1.854515,0,0,0,0,2,1,0,?
Robert Sanchez,GK,0,0,1.854515,30.95,0,0,3.1,2,1,1.75,?
Nick Pope,GK,0,0,1.7350125,17.3,0,0,1.725,10,1,1.5,?
Nick Pope,GK,0,0,1.7350125,17.3,0,0,1.725,3,1,1.5,?
Will Norris,GK,0,0,1.7350125,0,0,0,0,10,1,0,?
Will Norris,GK,0,0,1.7350125,0,0,0,0,3,1,0,?
Wayne Hennessey,GK,0,0.076379322,1.7350125,0,0,0,0,10,1,0,?
Wayne Hennessey,GK,0,0.076379322,1.7350125,0,0,0,0,3,1,0,?
Kepa Arrizabalaga,GK,0,0,0.67125375,0,0,0,0,4,1,0,?
Edouard Mendy,GK,0,0,0.67125375,8.5,0,0,0.825,4,1,4.75,?
Vicente Guaita,GK,0,0,1.18155825,15.8,0,0,1.575,8,1,4.25,?
Jack Butland,GK,0,0,1.18155825,3.35,0,0,0.35,8,1,1,?
Jordan Pickford,GK,0,0.005482959,1.66179375,19.9,0,0,1.975,9,0,1.75,?
Jordan Pickford,GK,0,0.005482959,1.66179375,19.9,0,0,1.975,1,0,1.75,?
Asmir Begovic,GK,0,0,1.66179375,10.65,0,0,1.075,9,0,2.75,?
Asmir Begovic,GK,0,0,1.66179375,10.65,0,0,1.075,1,0,2.75,?
Kasper Schmeichel,GK,0,0.003967298,1.961835,34.75,2.5,0,3.725,8,0,5.25,?
Eldin Jakupovic,GK,0,0,1.961835,0,0,0,0,8,0,0,?
Adria°n San Miguel del Castillo,GK,0,0,0.6608545,0,0,0,0,1,1,0,?
Alisson Ramses Becker,GK,0,0,0.6608545,22.15,0,0,2.225,1,1,7.5,?
Caoimhin Kelleher,GK,0,0,0.6608545,0,0,0,0,1,1,0,?
Ederson Santana de Moraes,GK,0,0,0.90223825,17.2,0,0,1.7,1,0,3.5,?
Zack Steffen,GK,0,0,0.90223825,0,0,0,0,1,0,0,?
Scott Carson,GK,0,0,0.90223825,0,0,0,0,1,0,0,?
David de Gea,GK,0,0,1.63750625,24.5,0,0,2.425,5,1,2.75,?
Dean Henderson,GK,0,0,1.63750625,0,0,0,0,5,1,0,?
Tom Heaton,GK,0,0,1.63750625,0,0,0,0,5,1,0,?
Karl Darlow,GK,0,0,1.30695725,0,0,0,0,7,0,0,?
Martin Dubravka,GK,0,0,1.30695725,23.5,0,0,2.35,7,0,2.5,?
Michael McGovern,GK,0,0,2.639405,0,0,0,0,6,0,0,?
Tim Krul,GK,0,0.119801797,2.639405,23.45,3.325,0,2.675,6,0,2,?
Angus Gunn,GK,0,0,2.639405,13.5,0,0,1.35,6,0,0.75,?
Fraser Forster,GK,0,0,1.3461875,20.8,0,0,2.1,3,0,2.5,?
Willy Caballero,GK,0,0,1.3461875,0,0,0,0,3,0,0,?
Hugo Lloris,GK,0,0,0.72825925,8.85,0,0,0.875,2,1,4,?
Pierluigi Gollini,GK,0,0,0.72825925,0,0,0,0,2,1,0,?
Ben Foster,GK,0,0,1.5566175,20.8,0,0,2.075,10,0,3.5,?
Daniel Bachmann,GK,0,0,1.5566175,0,0,0,0,10,0,0,?
Darren Randolph,GK,0,0,1.670632,0,0,0,0,3,1,0,?
Lukasz Fabianski,GK,0,0,1.670632,25,0,0,2.5,3,1,3.5,?
Alphonse Areola,GK,0,0,1.670632,0,0,0,0,3,1,0,?
John Ruddy,GK,0,0,1.563646,0,0,0,0,5,1,0,?
Jose Malheiro de Sa,GK,0,0,1.563646,22.1,0,0,2.225,5,1,4,?
